ID,name,year,gold,silver,bronze
1635,Spain,1972,1,0,1
1636,Spain,1976,0,6,0
1637,Spain,1980,2,19,3
1638,Spain,1984,2,14,3
1639,Spain,1988,1,2,2
1640,Spain,1992,48,19,3
1641,Spain,1996,23,21,22
1642,Spain,2000,3,19,20
1643,Spain,2004,4,15,9
1644,Spain,2008,7,45,16
1645,Spain,2012,5,33,25
1646,Spain,2016,7,19,17
1647,Spain-1,2008,0,2,0
1648,Spain-2,2004,0,2,0
1649,Spain-2,2016,2,0,0
1650,Sri Lanka,1948,0,1,0
1651,Sri Lanka,2000,0,1,0
1652,St. Louis Amateur Athletic Association,1904,0,12,0
1653,St. Louis Southwest Turnverein #1-2,1904,0,5,0
1654,St. Louis Southwest Turnverein #2-3,1904,0,0,5
1655,St. Rose-2,1904,0,0,12
1656,Starita,1948,0,0,2
1657,Stella-2,1920,0,0,3
1658,Sudan,2008,0,1,0
1659,Sunrise,2008,0,1,0
1660,Sunshine,1936,0,2,0
1661,Suriname,1988,1,0,0
1662,Suriname,1992,0,0,1
1663,Sweden,1900,0,0,1
1664,Sweden,1906,2,5,14
1665,Sweden,1908,48,13,18
1666,Sweden,1912,95,38,20
1667,Sweden,1920,45,34,64
1668,Sweden,1924,8,30,43
1669,Sweden,1928,9,21,17
1670,Sweden,1932,10,9,10
1671,Sweden,1936,9,11,18
1672,Sweden,1948,37,15,28
1673,Sweden,1952,23,21,43
1674,Sweden,1956,10,18,15
1675,Sweden,1960,7,4,5
1676,Sweden,1964,9,22,7
1677,Sweden,1968,7,11,7
1678,Sweden,1972,5,11,10
1679,Sweden,1976,9,1,2
1680,Sweden,1980,6,8,29
1681,Sweden,1984,10,20,34
1682,Sweden,1988,7,5,34
1683,Sweden,1992,2,27,13
1684,Sweden,1994,23,1,0
1685,Sweden,1996,3,23,5
1686,Sweden,1998,0,2,5
1687,Sweden,2000,4,20,8
1688,Sweden,2002,0,2,24
1689,Sweden,2004,5,5,2
1690,Sweden,2006,35,21,8
1691,Sweden,2008,0,3,2
1692,Sweden,2010,11,3,4
1693,Sweden,2012,2,17,3
1694,Sweden,2014,8,32,11
1695,Sweden,2016,2,23,3
1696,Sweden-1,1912,0,2,0
1697,Sweden-2,1912,0,2,0
1698,Sweden-2,2008,0,2,0
1699,Sweden-3,1912,0,0,2
1700,Swedish Star,1932,0,0,2
1701,Swift,1948,2,0,0
1702,Switzerland,1896,1,2,0
1703,Switzerland,1900,13,1,1
1704,Switzerland,1904,1,0,2
1705,Switzerland,1906,8,3,1
1706,Switzerland,1912,2,0,0
1707,Switzerland,1920,6,2,21
1708,Switzerland,1924,18,25,22
1709,Switzerland,1928,16,10,16
1710,Switzerland,1932,0,1,0
1711,Switzerland,1936,5,23,24
1712,Switzerland,1948,7,28,25
1713,Switzerland,1952,2,19,12
1714,Switzerland,1956,2,2,3
1715,Switzerland,1960,2,6,3
1716,Switzerland,1964,1,4,1
1717,Switzerland,1968,0,5,13
1718,Switzerland,1972,3,11,5
1719,Switzerland,1976,2,5,6
1720,Switzerland,1980,2,0,3
1721,Switzerland,1984,2,11,4
1722,Switzerland,1988,4,13,7
1723,Switzerland,1992,1,0,1
1724,Switzerland,1994,2,2,4
1725,Switzerland,1996,5,6,0
1726,Switzerland,1998,6,1,3
1727,Switzerland,2000,1,11,2
1728,Switzerland,2002,3,5,12
1729,Switzerland,2004,1,2,2
1730,Switzerland,2006,5,7,3
1731,Switzerland,2008,3,1,7
1732,Switzerland,2010,6,0,6
1733,Switzerland,2012,2,2,0
1734,Switzerland,2014,6,2,20
1735,Switzerland,2016,6,3,2
1736,Switzerland-1,1924,4,0,0
1737,Switzerland-1,1936,0,4,0
1738,Switzerland-1,1948,0,2,0
1739,Switzerland-1,1952,0,0,6
1740,Switzerland-1,1956,4,0,2
1741,Switzerland-1,1968,0,0,4
1742,Switzerland-1,1972,4,0,2
1743,Switzerland-1,1976,0,0,2
1744,Switzerland-1,1980,0,4,0
1745,Switzerland-1,1984,0,0,4
1746,Switzerland-1,1988,4,0,0
1747,Switzerland-1,1992,2,0,4
1748,Switzerland-1,1994,2,4,0
1749,Switzerland-1,1998,0,4,0
1750,Switzerland-1,2002,0,2,0
1751,Switzerland-1,2006,0,0,6
1752,Switzerland-1,2014,0,2,0
1753,Switzerland-2,1932,0,2,0
1754,Switzerland-2,1936,4,2,0
1755,Switzerland-2,1948,2,0,0
1756,Switzerland-2,1976,0,4,0
1757,Switzerland-2,1980,2,0,0
1758,Switzerland-2,1994,0,2,0
1759,Switzerland-2,2002,0,0,2
1760,Switzerland-2,2004,0,0,2
1761,Sylvia,1928,0,0,6
1762,Symphony,1948,0,2,0
1763,Syria,1984,0,1,0
1764,Syria,1996,1,0,0
1765,Syria,2004,0,0,1
1766,Taifun,1912,5,0,0
1767,Tajikistan,2008,0,1,1
1768,Tajikistan,2012,0,0,1
1769,Tajikistan,2016,1,0,0
1770,Tan-Fe-Pah,1920,0,3,0
1771,Tango,1960,0,3,0
1772,Tanzania,1980,0,2,0
1773,Thailand,1976,0,0,1
1774,Thailand,1984,0,1,0
1775,Thailand,1988,0,0,1
1776,Thailand,1992,0,0,1
1777,Thailand,1996,1,0,1
1778,Thailand,2000,1,0,2
1779,Thailand,2004,3,1,4
1780,Thailand,2008,2,2,0
1781,Thailand,2012,0,2,1
1782,Thailand,2016,2,2,2
1783,Thames Rowing Club,1912,0,5,0
1784,Thessalonki-1,1906,0,0,11
1785,Tip,1956,0,3,0
1786,Togo,2008,0,0,1
1787,Tonga,1996,0,1,0
1788,Tornado,1952,0,3,0
1789,Tornado,1960,2,0,0
1790,Toronto Argonauts,1904,0,9,0
1791,Toronto Argonauts,1908,0,0,9
1792,Trans-Mississippi Golf Association-2,1904,0,10,0
1793,Trinidad and Tobago,1948,0,1,0
1794,Trinidad and Tobago,1952,0,0,2
1795,Trinidad and Tobago,1964,0,1,5
1796,Trinidad and Tobago,1976,1,0,0
1797,Trinidad and Tobago,1996,0,0,2
1798,Trinidad and Tobago,2000,0,1,1
1799,Trinidad and Tobago,2004,0,0,1
1800,Trinidad and Tobago,2008,5,1,0
1801,Trinidad and Tobago,2012,1,4,5
1802,Trinidad and Tobago,2016,0,0,1
1803,Tritons Lillois-2,1900,0,5,0
1804,Tunisia,1964,0,1,1
1805,Tunisia,1968,1,0,1
1806,Tunisia,1972,0,1,0
1807,Tunisia,1996,0,0,1
1808,Tunisia,2008,1,0,0
1809,Tunisia,2012,1,1,1
1810,Tunisia,2016,0,0,3
1811,Turkey,1936,1,0,1
1812,Turkey,1948,6,4,2
1813,Turkey,1952,2,0,1
1814,Turkey,1956,3,2,2
1815,Turkey,1960,7,2,0
1816,Turkey,1964,2,3,1
1817,Turkey,1968,2,0,0
1818,Turkey,1972,0,1,0
1819,Turkey,1984,0,0,3
1820,Turkey,1988,1,1,0
1821,Turkey,1992,2,2,2
1822,Turkey,1996,4,1,1
1823,Turkey,2000,3,0,2
1824,Turkey,2004,3,3,5
1825,Turkey,2008,1,3,3
1826,Turkey,2012,2,2,1
1827,Turkey,2016,1,3,4
1828,Turquoise-1,1900,0,0,1
1829,Tutti V,1928,0,0,5
1830,USFSA,1900,0,13,0
1831,Uganda,1968,0,1,1
1832,Uganda,1972,1,1,0
1833,Uganda,1980,0,1,0
1834,Uganda,1996,0,0,1
1835,Uganda,2012,1,0,0
1836,Ukraine,1994,1,0,1
1837,Ukraine,1996,10,5,19
1838,Ukraine,1998,0,1,0
1839,Ukraine,2000,3,20,12
1840,Ukraine,2004,8,8,31
1841,Ukraine,2006,0,0,1
1842,Ukraine,2008,10,5,16
1843,Ukraine,2012,9,5,12
1844,Ukraine,2014,4,0,1
1845,Ukraine,2016,2,8,5
1846,Ukraine-1,2006,0,0,2
1847,Unified Team,1992,123,69,79
1848,Unified Team-1,1992,4,0,0
1849,Unified Team-2,1992,0,2,2
1850,Union des Socits Franais de Sports Athletiques,1900,17,12,0
1851,United Arab Emirates,2004,1,0,0
1852,United Arab Emirates,2016,0,0,1
1853,United Arab Republic,1960,0,1,1
1854,United States,1896,11,7,2
1855,United States,1900,18,14,13
1856,United States,1904,65,68,66
1857,United States,1906,12,6,6
1858,United States,1908,34,16,15
1859,United States,1912,46,25,36
1860,United States,1920,111,45,38
1861,United States,1924,92,44,50
1862,United States,1928,48,25,19
1863,United States,1932,71,57,62
1864,United States,1936,51,29,28
1865,United States,1948,82,34,33
1866,United States,1952,77,38,29
1867,United States,1956,61,61,21
1868,United States,1960,97,27,21
1869,United States,1964,96,37,32
1870,United States,1968,100,37,36
1871,United States,1972,72,77,46
1872,United States,1976,73,61,39
1873,United States,1980,24,4,2
1874,United States,1984,190,119,50
1875,United States,1988,89,67,56
1876,United States,1992,92,57,87
1877,United States,1994,6,8,5
1878,United States,1996,157,46,52
1879,United States,1998,25,2,3
1880,United States,2000,128,61,51
1881,United States,2002,9,52,9
1882,United States,2004,115,75,69
1883,United States,2006,9,7,32
1884,United States,2008,121,110,78
1885,United States,2010,8,61,20
1886,United States,2012,139,55,44
1887,United States,2014,8,28,16
1888,United States,2016,137,52,67
1889,United States Golf Association-3,1904,0,0,10
1890,United States Virgin Islands,1988,0,1,0
1891,United States-1,1904,2,0,0
1892,United States-1,1924,4,0,0
1893,United States-1,1928,0,5,0
1894,United States-1,1932,6,2,0
1895,United States-1,1936,2,0,0
1896,United States-1,1948,0,0,4
1897,United States-1,1952,0,8,0
1898,United States-1,1956,0,0,4
1899,United States-1,1960,0,0,2
1900,United States-1,1964,0,0,2
1901,United States-1,1976,0,0,2
1902,United States-1,1984,0,2,0
1903,United States-1,1988,0,0,2
1904,United States-1,1992,2,0,0
1905,United States-1,1996,2,0,0
1906,United States-1,1998,0,2,0
1907,United States-1,2000,2,0,0
1908,United States-1,2002,0,4,2
1909,United States-1,2004,2,0,0
1910,United States-1,2006,0,4,0
1911,United States-1,2008,4,0,2
1912,United States-1,2010,4,2,0
1913,United States-1,2012,6,0,2
1914,United States-1,2014,2,2,6
1915,United States-1,2016,0,2,2
1916,United States-2,1904,0,2,0
1917,United States-2,1924,2,2,0
1918,United States-2,1928,5,0,0
1919,United States-2,1932,0,4,2
1920,United States-2,1936,0,0,2
1921,United States-2,1948,4,0,2
1922,United States-2,1996,0,2,0
1923,United States-2,1998,0,0,2
1924,United States-2,2002,2,2,4
1925,United States-2,2004,0,0,2
1926,United States-2,2008,2,0,0
1927,United States-2,2010,0,0,2
1928,United States-2,2012,0,2,0
1929,United States-2,2014,0,0,2
1930,United States-2,2016,2,0,2
1931,United States-3,1904,0,0,2
1932,United States-4,1904,0,0,2
1933,United States/France,1900,0,2,0
1934,United States/Great Britain,1900,0,0,2
1935,Univ. of Brussels,1900,0,0,11
1936,Upton Park FC,1900,11,0,0
1937,Uruguay,1924,14,0,0
1938,Uruguay,1928,17,0,0
1939,Uruguay,1932,0,0,1
1940,Uruguay,1948,0,1,2
1941,Uruguay,1952,0,0,14
1942,Uruguay,1956,0,0,12
1943,Uruguay,1964,0,0,1
1944,Uruguay,2000,0,1,0
1945,Uzbekistan,1994,1,0,0
1946,Uzbekistan,1996,0,1,1
1947,Uzbekistan,2000,1,1,2
1948,Uzbekistan,2004,2,1,2
1949,Uzbekistan,2008,1,2,3
