ID,name,year,gold,silver,bronze
205,Bohemia,1908,0,0,6
206,Bohemia/Great Britain,1900,0,0,2
207,Bona Fide,1900,3,0,0
208,Bonaparte,2008,1,0,0
209,Bonzo,1924,0,3,0
210,Boreas-2,1920,0,2,0
211,Boston Archers,1904,0,0,4
212,Botswana,2012,0,1,0
213,Brazil,1920,1,1,5
214,Brazil,1948,0,0,10
215,Brazil,1952,1,0,2
216,Brazil,1956,1,0,0
217,Brazil,1960,0,0,13
218,Brazil,1964,0,0,12
219,Brazil,1968,0,1,3
220,Brazil,1972,0,0,2
221,Brazil,1976,0,0,3
222,Brazil,1980,4,0,5
223,Brazil,1984,1,33,2
224,Brazil,1988,1,17,5
225,Brazil,1992,13,1,0
226,Brazil,1996,3,13,43
227,Brazil,2000,0,8,34
228,Brazil,2004,16,17,3
229,Brazil,2008,14,32,28
230,Brazil,2012,14,32,9
231,Brazil,2016,34,6,6
232,Brazil-1,1996,2,0,0
233,Brazil-1,2000,0,4,0
234,Brazil-1,2004,2,2,0
235,Brazil-1,2008,0,2,0
236,Brazil-1,2012,0,2,2
237,Brazil-1,2016,2,2,0
238,Brazil-2,1996,0,2,0
239,Brazil-2,2000,0,0,2
240,Brazil-2,2008,0,0,2
241,Brussels Swimming and Water Polo Club,1900,0,10,0
242,Brynhild-2,1900,0,1,0
243,Bucintoro Venezia,1906,8,0,0
244,Bucintoro Venezia-1,1906,3,0,0
245,Bulgaria,1952,0,0,1
246,Bulgaria,1956,1,3,14
247,Bulgaria,1960,1,3,3
248,Bulgaria,1964,3,5,2
249,Bulgaria,1968,2,21,3
250,Bulgaria,1972,6,10,6
251,Bulgaria,1976,8,13,18
252,Bulgaria,1980,8,44,39
253,Bulgaria,1988,10,14,17
254,Bulgaria,1992,3,7,7
255,Bulgaria,1996,3,12,6
256,Bulgaria,1998,1,0,0
257,Bulgaria,2000,5,6,2
258,Bulgaria,2002,0,1,2
259,Bulgaria,2004,2,1,14
260,Bulgaria,2006,0,1,0
261,Bulgaria,2008,1,1,3
262,Bulgaria,2012,0,1,1
263,Bulgaria,2016,0,1,6
264,Buraddoo,1956,0,0,3
265,Burundi,1996,1,0,0
266,Burundi,2016,0,1,0
267,Cambridge University Boat Club-2,1908,0,0,9
268,Cameroon,1968,0,1,0
269,Cameroon,1984,0,0,1
270,Cameroon,2000,18,0,0
271,Cameroon,2004,1,0,0
272,Cameroon,2008,1,0,0
273,Camille,1908,1,0,0
274,Canada,1900,1,0,1
275,Canada,1904,2,0,0
276,Canada,1906,1,1,0
277,Canada,1908,14,8,15
278,Canada,1912,3,2,3
279,Canada,1920,10,3,3
280,Canada,1924,9,19,1
281,Canada,1928,19,5,21
282,Canada,1932,16,8,25
283,Canada,1936,1,25,9
284,Canada,1948,13,2,7
285,Canada,1952,17,3,1
286,Canada,1956,5,9,23
287,Canada,1960,1,26,1
288,Canada,1964,2,2,2
289,Canada,1968,4,4,22
290,Canada,1972,0,3,9
291,Canada,1976,1,10,15
292,Canada,1980,0,1,1
293,Canada,1984,21,37,33
294,Canada,1988,4,7,16
295,Canada,1992,32,33,13
296,Canada,1994,3,29,3
297,Canada,1996,8,30,10
298,Canada,1998,12,28,7
299,Canada,2000,4,4,23
300,Canada,2002,50,7,15
301,Canada,2004,3,10,4
302,Canada,2006,30,26,11
303,Canada,2008,11,13,11
304,Canada,2010,63,13,4
305,Canada,2012,1,21,33
306,Canada,2014,57,20,5
307,Canada,2016,4,4,61
308,Canada-1,1956,0,2,0
309,Canada-1,1960,2,0,0
310,Canada-1,1964,4,2,0
311,Canada-1,1988,0,0,2
312,Canada-1,1992,0,0,2
313,Canada-1,1994,0,0,2
314,Canada-1,1996,0,0,2
315,Canada-1,1998,2,0,0
316,Canada-1,2002,2,0,0
317,Canada-1,2006,0,2,0
318,Canada-1,2010,4,0,4
319,Canada-1,2014,2,2,0
320,Canada-2,2010,0,2,0
321,Caprice,1932,0,0,4
322,Carabinier-15,1900,1,0,0
323,"Central Turnverein, Chicago",1904,0,0,6
324,Century Boat Club-1,1904,4,0,0
325,Cercle de l'Aviron Roubaix-4,1900,5,0,0
326,Chicago Athletic Association,1904,0,5,0
327,Chicago Athletic Association-2,1904,0,11,0
328,Chile,1928,0,1,0
329,Chile,1952,0,4,0
330,Chile,1956,0,2,2
331,Chile,1988,0,1,0
332,Chile,2000,0,0,17
333,Chile,2004,3,0,1
334,Chile,2008,0,1,0
335,China,1984,24,13,37
336,China,1988,4,16,30
337,China,1992,14,44,15
338,China,1994,0,1,2
339,China,1996,13,66,15
340,China,1998,0,9,5
341,China,2000,31,19,15
342,China,2002,2,5,7
343,China,2004,42,27,13
344,China,2006,2,3,4
345,China,2008,72,49,49
346,China,2010,7,1,7
347,China,2012,50,38,29
348,China,2014,3,4,5
349,China,2016,44,30,35
350,China-1,1988,2,0,0
351,China-1,1992,2,4,0
352,China-1,1996,2,2,0
353,China-1,2000,2,2,2
354,China-1,2002,0,0,2
355,China-1,2004,8,0,0
356,China-1,2006,0,2,0
357,China-1,2008,2,4,4
358,China-1,2010,2,0,0
359,China-1,2012,6,0,0
360,China-1,2016,2,0,2
361,China-2,1992,2,0,4
362,China-2,1996,4,2,2
363,China-2,2000,6,2,0
364,China-2,2004,2,0,2
365,China-2,2008,0,0,4
366,China-2,2010,0,2,0
367,China-2,2012,0,2,0
368,China-3,2006,0,0,2
369,Chinese Taipei,1960,0,1,0
370,Chinese Taipei,1968,0,0,1
371,Chinese Taipei,1984,0,0,1
372,Chinese Taipei,1992,0,20,0
373,Chinese Taipei,1996,0,1,0
374,Chinese Taipei,2000,0,1,4
375,Chinese Taipei,2004,2,4,3
376,Chinese Taipei,2008,0,0,4
377,Chinese Taipei,2012,0,1,1
378,Chinese Taipei,2016,1,0,4
379,Christian Brothers' College-1,1904,0,11,0
380,Chuckles,1956,0,0,2
381,Cicely-1,1900,1,0,0
382,Cincinnati Archers,1904,4,4,0
383,Clearwater,2008,0,0,1
384,Club Nautique de Lyon-2,1900,0,4,0
385,Cobweb-1,1908,5,0,0
386,Colombia,1972,0,1,2
387,Colombia,1984,0,1,0
388,Colombia,1988,0,0,1
389,Colombia,1992,0,0,1
390,Colombia,2000,1,0,0
391,Colombia,2004,0,0,2
392,Colombia,2008,0,1,1
393,Colombia,2012,1,3,4
394,Colombia,2016,3,2,3
395,Comanche,1952,0,2,0
396,Complex II,1952,4,0,0
397,Cornwall,1908,0,15,0
398,Costa Rica,1988,0,1,0
399,Costa Rica,1996,1,0,0
400,Costa Rica,2000,0,0,2
401,Cote d'Ivoire,1984,0,1,0
402,Cote d'Ivoire,2016,1,0,1
403,Crabe II-1,1900,0,5,0
404,Crabe II-4,1900,0,0,5
405,Croatia,1992,0,12,3
406,Croatia,1996,16,12,0
407,Croatia,2000,1,0,9
408,Croatia,2002,3,1,0
409,Croatia,2004,15,3,3
410,Croatia,2006,1,2,0
411,Croatia,2008,0,2,3
412,Croatia,2010,0,2,1
413,Croatia,2012,15,4,16
414,Croatia,2014,0,1,0
415,Croatia,2016,7,15,2
416,Cuba,1900,1,1,0
417,Cuba,1904,5,0,0
418,Cuba,1964,0,1,0
419,Cuba,1968,0,10,0
420,Cuba,1972,3,1,18
421,Cuba,1976,6,4,14
422,Cuba,1980,8,7,5
423,Cuba,1992,42,13,14
424,Cuba,1996,37,8,10
425,Cuba,2000,18,35,12
426,Cuba,2004,32,8,22
427,Cuba,2008,2,34,11
428,Cuba,2012,5,3,6
429,Cuba,2016,5,2,4
430,Cyprus,2012,0,1,0
431,Czech Republic,1996,4,3,4
432,Czech Republic,1998,21,1,1
433,Czech Republic,2000,2,3,2
434,Czech Republic,2002,1,2,0
435,Czech Republic,2004,1,6,4
436,Czech Republic,2006,1,2,24
437,Czech Republic,2008,3,4,0
438,Czech Republic,2010,2,0,7
439,Czech Republic,2012,4,2,6
440,Czech Republic,2014,2,7,2
441,Czech Republic,2016,1,2,10
442,Czech Republic-1,1996,0,2,0
443,Czech Republic-1,2000,0,0,2
444,Czech Republic-1,2004,0,0,2
445,Czech Republic-1,2012,0,2,0
446,Czech Republic-1,2016,0,0,2
447,Czechoslovakia,1920,0,0,10
448,Czechoslovakia,1924,1,4,5
449,Czechoslovakia,1928,2,12,3
450,Czechoslovakia,1932,1,3,2
451,Czechoslovakia,1936,5,12,1
452,Czechoslovakia,1948,14,20,3
453,Czechoslovakia,1952,11,4,10
454,Czechoslovakia,1956,1,5,1
455,Czechoslovakia,1960,4,8,11
456,Czechoslovakia,1964,5,37,29
457,Czechoslovakia,1968,8,26,16
458,Czechoslovakia,1972,3,21,25
459,Czechoslovakia,1976,2,23,9
460,Czechoslovakia,1980,17,18,17
461,Czechoslovakia,1984,0,24,4
462,Czechoslovakia,1988,3,5,8
463,Czechoslovakia,1992,4,1,28
464,Czechoslovakia-1,1992,0,2,0
465,Denmark,1896,1,2,3
466,Denmark,1900,1,3,2
467,Denmark,1906,14,19,1
468,Denmark,1908,0,14,3
469,Denmark,1912,0,46,28
470,Denmark,1920,26,44,1
471,Denmark,1924,2,6,3
472,Denmark,1928,6,1,4
473,Denmark,1932,0,7,4
474,Denmark,1936,0,3,3
475,Denmark,1948,7,17,24
476,Denmark,1952,3,1,5
477,Denmark,1956,1,1,1
478,Denmark,1960,2,12,4
479,Denmark,1964,4,1,4
480,Denmark,1968,5,6,6
481,Denmark,1972,1,0,0
482,Denmark,1976,3,0,5
483,Denmark,1980,4,2,2
484,Denmark,1984,0,3,10
485,Denmark,1988,3,1,3
486,Denmark,1992,3,2,9
487,Denmark,1996,21,1,1
488,Denmark,1998,0,5,0
489,Denmark,2000,18,3,4
490,Denmark,2004,19,1,7
491,Denmark,2008,6,7,3
492,Denmark,2012,3,5,6
493,Denmark,2016,15,10,16
494,Denmark-1,2012,0,0,2
495,Denmark-2,2004,0,0,2
496,Denmark/Sweden,1900,6,0,0
497,Deutscher Schwimm Verband Berlin,1900,4,0,0
498,Devon and Somerset Wanderers,1900,12,0,0
499,Digby,2008,0,0,1
500,Djibouti,1988,0,0,1
501,Djinn,1948,0,5,0
502,Dominican Republic,1984,0,0,1
503,Dominican Republic,2004,1,0,0
504,Dominican Republic,2008,1,1,0
505,Dominican Republic,2012,1,1,0
506,Dominican Republic,2016,0,0,1
507,Don Schufro,2008,0,0,1
508,Dormy-1,1908,3,0,0
509,East Germany,1968,13,22,21
510,East Germany,1972,31,67,65
511,East Germany,1976,106,55,54
512,East Germany,1980,125,97,65
513,East Germany,1984,7,7,5
514,East Germany,1988,87,61,53
515,East Germany-1,1968,2,0,0
516,East Germany-1,1972,4,0,2
517,East Germany-1,1976,6,2,0
518,East Germany-1,1980,6,0,4
519,East Germany-1,1984,4,2,2
520,East Germany-1,1988,2,6,0
521,East Germany-2,1972,0,0,2
522,East Germany-2,1976,2,0,2
523,East Germany-2,1980,0,2,4
524,East Germany-2,1984,2,4,0
525,East Germany-2,1988,0,2,2
526,Ecuador,1996,1,0,0
527,Ecuador,2008,0,1,0
528,Edelweiss II-1,1920,3,0,0
529,Egypt,1928,2,1,1
530,Egypt,1936,2,1,2
531,Egypt,1948,2,2,1
532,Egypt,1952,0,0,1
533,Egypt,1984,0,1,0
534,Egypt,2004,1,1,3
535,Egypt,2008,0,0,1
536,Egypt,2012,0,2,0
537,Egypt,2016,0,0,3
538,Eleda,1920,7,0,0
539,Elisabeth V,1924,3,0,0
540,Elisabeth X,1952,0,5,0
541,Elsie,1920,0,4,0
542,Elvis Va,2008,1,0,0
543,Emily,1924,0,5,0
544,Encore,1952,0,3,0
545,England,1912,0,1,0
546,England-1,1908,11,0,0
547,England-1,1912,0,12,0
548,Eritrea,2004,0,0,1
549,Erna Signe,1912,0,10,0
550,Espadarte,1952,0,0,2
551,Esterel-1,1900,2,0,0
552,Estonia,1920,1,2,0
553,Estonia,1924,1,1,4
554,Estonia,1928,2,1,1
555,Estonia,1936,2,2,3
556,Estonia,1992,1,0,2
557,Estonia,2000,1,0,2
558,Estonia,2002,1,1,1
559,Estonia,2004,0,1,2
560,Estonia,2006,3,0,0
561,Estonia,2008,1,2,0
562,Estonia,2010,0,1,0
563,Estonia,2012,0,1,1
564,Estonia,2016,0,0,4
565,Ethiopia,1960,1,0,0
566,Ethiopia,1964,1,0,0
567,Ethiopia,1968,1,1,0
568,Ethiopia,1972,0,0,2
569,Ethiopia,1980,2,0,2
570,Ethiopia,1992,1,0,2
571,Ethiopia,1996,2,0,1
572,Ethiopia,2000,4,1,3
573,Ethiopia,2004,2,3,2
574,Ethiopia,2008,4,1,2
575,Ethiopia,2012,3,1,3
576,Ethiopia,2016,1,2,5
577,Ethnikos Gymnastikos Syllogos,1896,0,0,2
578,Falcon IV,1956,0,2,0
579,Fantlet-7,1900,1,0,0
580,Favorite Hammonia-3,1900,0,0,6
581,Favorite-1,1900,0,8,0
582,Femur-1,1900,1,0,0
583,Fiji,2016,13,0,0
584,Finland,1906,2,1,1
585,Finland,1908,1,1,28
586,Finland,1912,9,33,10
587,Finland,1920,21,14,17
588,Finland,1924,28,21,18
589,Finland,1928,10,9,10
590,Finland,1932,6,9,17
591,Finland,1936,12,8,16
592,Finland,1948,18,14,10
593,Finland,1952,14,7,26
594,Finland,1956,8,7,23
595,Finland,1960,6,4,9
596,Finland,1964,6,7,7
597,Finland,1968,2,4,6
598,Finland,1972,3,10,7
599,Finland,1976,9,12,1
600,Finland,1980,4,6,11
601,Finland,1984,8,5,18
602,Finland,1988,8,23,7
603,Finland,1992,7,5,8
604,Finland,1994,0,1,29
605,Finland,1996,1,2,1
606,Finland,1998,2,7,49
607,Finland,2000,3,1,1
608,Finland,2002,7,5,1
609,Finland,2004,0,2,0
610,Finland,2006,0,34,7
611,Finland,2008,1,2,2
612,Finland,2010,0,1,46
613,Finland,2012,0,1,4
614,Finland,2014,2,7,24
615,Finland,2016,0,0,1
616,Formosa,1900,0,0,1
617,Fornebo,1920,0,4,0
618,Foxhunters Hurlingham,1900,5,0,0
619,France,1896,5,4,2
620,France,1900,22,27,26
621,France,1904,0,1,0
622,France,1906,20,8,17
623,France,1908,11,5,20
624,France,1912,7,11,5
625,France,1920,11,68,55
626,France,1924,37,49,23
627,France,1928,8,24,14
628,France,1932,28,8,6
629,France,1936,13,13,19
630,France,1948,28,23,26
631,France,1952,14,9,18
632,France,1956,7,13,13
633,France,1960,1,6,8
634,France,1964,4,17,17
635,France,1968,16,8,12
636,France,1972,2,6,17
637,France,1976,5,7,9
638,France,1980,18,5,7
639,France,1984,20,17,33
640,France,1988,13,4,14
641,France,1992,14,9,42
642,France,1994,0,1,10
643,France,1996,19,10,20
644,France,1998,2,1,10
645,France,2000,22,30,12
646,France,2002,3,5,5
647,France,2004,21,10,22
648,France,2006,3,2,10
649,France,2008,25,24,28
650,France,2010,2,6,6
651,France,2012,30,28,20
652,France,2014,4,4,10
653,France,2016,20,55,21
654,France-1,1900,0,1,3
655,France-1,1924,0,2,2
656,France-1,1992,0,2,2
657,France-1,1996,2,0,0
658,France-1,1998,0,0,2
659,France-1,2000,0,0,2
660,France-1,2002,2,0,0
661,France-1,2012,0,2,0
662,France-2,1924,0,0,2
663,France-2,2012,0,0,2
664,France-3,1920,2,0,2
665,France/Great Britain,1900,0,2,0
666,Frankfurt Club,1900,0,15,0
667,Frimousse,1900,0,0,1
668,Gabon,2012,0,1,0
669,Gallant,1932,0,5,0
670,Gallia II,1912,0,0,7
671,Galt Football Club,1904,13,0,0
672,Gem,1964,2,0,0
673,Gem IV,1956,0,0,2
674,Georgia,1996,0,0,2
675,Georgia,2000,0,0,6
676,Georgia,2004,2,2,0
677,Georgia,2008,3,0,3
678,Georgia,2012,1,3,3
679,Georgia,2016,2,1,4
680,Germania II,1936,0,0,6
681,"Germania Ruder Club, Hamburg-2",1900,5,0,0
682,Germany,1896,24,5,2
683,Germany,1900,1,1,0
684,Germany,1904,4,5,6
685,Germany,1906,14,10,6
686,Germany,1908,4,11,4
687,Germany,1912,6,19,14
688,Germany,1928,21,15,41
689,Germany,1932,10,26,17
690,Germany,1936,93,72,55
691,Germany,1952,4,16,25
692,Germany,1956,10,20,24
693,Germany,1960,38,35,20
694,Germany,1964,25,43,53
695,Germany,1992,93,66,65
696,Germany,1994,14,10,6
697,Germany,1996,42,35,45
698,Germany,1998,16,12,6
699,Germany,2000,31,23,62
700,Germany,2002,18,21,10
701,Germany,2004,41,43,63
702,Germany,2006,15,23,6
703,Germany,2008,39,16,41
704,Germany,2010,13,18,11
705,Germany,2012,43,27,22
706,Germany,2014,13,12,7
707,Germany,2016,47,43,67
708,Germany-1,1932,0,0,4
709,Germany-1,1936,2,0,0
710,Germany-1,1952,4,0,0
711,Germany-1,1960,0,2,0
712,Germany-1,1964,0,2,0
713,Germany-1,1992,2,6,0
714,Germany-1,1994,0,0,6
715,Germany-1,1996,0,0,2
716,Germany-1,1998,2,0,4
717,Germany-1,2000,0,0,2
718,Germany-1,2002,2,2,0
719,Germany-1,2004,0,2,0
720,Germany-1,2006,8,2,0
721,Germany-1,2010,2,4,2
722,Germany-1,2012,2,0,0
723,Germany-1,2014,2,0,2
724,Germany-1,2016,2,0,0
725,Germany-2,1928,0,0,5
726,Germany-2,1992,0,2,2
727,Germany-2,1994,4,0,0
728,Germany-2,1998,4,0,0
729,Germany-2,2002,6,0,2
730,Germany-2,2010,0,2,2
731,Ghana,1960,0,1,0
732,Ghana,1964,0,0,1
733,Ghana,1972,0,0,1
734,Ghana,1992,0,0,20
735,Gitana-2,1900,0,5,5
736,Glider,1964,0,2,0
737,Great Britain,1896,2,3,2
738,Great Britain,1900,9,6,7
739,Great Britain,1904,1,1,0
740,Great Britain,1906,9,14,8
741,Great Britain,1908,69,64,34
742,Great Britain,1912,36,35,57
743,Great Britain,1920,46,40,15
744,Great Britain,1924,31,23,28
745,Great Britain,1928,7,27,25
746,Great Britain,1932,9,10,14
747,Great Britain,1936,19,17,11
748,Great Britain,1948,5,42,14
749,Great Britain,1952,4,2,26
750,Great Britain,1956,8,12,17
751,Great Britain,1960,2,11,15
752,Great Britain,1964,4,17,5
753,Great Britain,1968,9,5,5
754,Great Britain,1972,8,9,12
755,Great Britain,1976,7,15,11
756,Great Britain,1980,6,18,24
757,Great Britain,1984,9,20,42
758,Great Britain,1988,22,17,15
759,Great Britain,1992,8,3,39
760,Great Britain,1994,0,0,3
761,Great Britain,1996,2,15,9
762,Great Britain,1998,0,0,4
763,Great Britain,2000,22,20,10
764,Great Britain,2002,5,0,1
765,Great Britain,2004,17,23,15
766,Great Britain,2006,0,1,0
767,Great Britain,2008,31,25,25
768,Great Britain,2010,1,0,0
769,Great Britain,2012,46,28,48
770,Great Britain,2014,1,4,5
771,Great Britain,2016,64,55,26
772,Great Britain-1,1900,2,0,0
773,Great Britain-1,1908,12,2,0
774,Great Britain-1,1912,0,2,0
775,Great Britain-1,1920,0,0,2
776,Great Britain-1,1924,0,4,2
777,Great Britain-1,1964,2,0,0
778,Great Britain-1,1984,2,0,0
779,Great Britain-1,2004,0,2,0
780,Great Britain-1,2012,2,0,0
781,Great Britain-2,1900,0,0,2
782,Great Britain-2,1908,0,6,8
783,Great Britain-2,1912,2,0,2
784,Great Britain-2,1920,2,0,0
785,Great Britain-2,1924,0,2,0
786,Great Britain-2,2000,0,0,2
787,Great Britain-2,2012,0,2,0
788,Great Britain-3,1908,0,0,4
789,Great Britain-3,1920,0,2,0
790,Great Britain/Germany,1896,2,0,0
791,Greece,1896,10,16,18
792,Greece,1904,1,0,1
793,Greece,1906,7,11,10
794,Greece,1908,0,3,1
795,Greece,1912,1,0,1
796,Greece,1920,0,5,0
797,Greece,1924,1,0,0
798,Greece,1956,0,0,1
799,Greece,1968,0,0,1
800,Greece,1972,0,2,0
801,Greece,1980,1,0,4
802,Greece,1984,0,1,1
803,Greece,1988,0,0,1
804,Greece,1992,2,0,0
805,Greece,1996,4,4,0
806,Greece,2000,4,6,8
807,Greece,2004,8,18,5
808,Greece,2008,0,3,4
809,Greece,2012,0,0,3
810,Greece,2016,3,1,3
811,Greece-1,1896,0,2,0
812,Greece-1,1906,0,4,0
813,Greece-2,1906,0,0,2
814,Grenada,2012,1,0,0
815,Grenada,2016,0,1,0
816,Guatemala,2012,0,1,0
817,Gustel X,1952,0,0,3
818,Guyana,1980,0,0,1
819,Guyoni,1908,0,0,3
820,Gwendoline-2,1900,0,0,3
821,Gyrinus-1,1908,6,0,0
822,Haiti,1924,0,0,5
823,Haiti,1928,0,1,0
824,Heatherbell,1912,0,0,7
825,Heira II,1920,9,0,0
826,Hera-1,1908,10,0,0
827,Heroine,1908,4,0,0
828,Hi-Hi,1928,0,4,0
829,Hilarius,1948,2,0,0
830,Hojwa,1952,0,0,3
831,Hollandia,1928,0,6,0
832,Hong Kong,1996,1,0,0
833,Hong Kong,2012,0,0,1
834,Hong Kong-2,2004,0,2,0
835,Humbug V,1964,0,0,2
836,Hungary,1896,2,1,3
837,Hungary,1900,1,2,2
838,Hungary,1904,2,1,1
839,Hungary,1906,5,5,3
840,Hungary,1908,7,7,6
841,Hungary,1912,10,17,3
842,Hungary,1924,2,12,8
843,Hungary,1928,10,11,0
844,Hungary,1932,20,5,8
845,Hungary,1936,25,1,15
846,Hungary,1948,15,25,22
847,Hungary,1952,53,17,32
848,Hungary,1956,30,20,16
849,Hungary,1960,13,16,37
850,Hungary,1964,42,7,7
851,Hungary,1968,32,20,29
852,Hungary,1972,10,46,25
853,Hungary,1976,14,6,35
854,Hungary,1980,8,15,40
855,Hungary,1988,20,9,15
856,Hungary,1992,14,23,8
857,Hungary,1996,8,9,26
858,Hungary,2000,25,24,4
859,Hungary,2004,24,12,4
860,Hungary,2008,16,8,3
861,Hungary,2012,12,8,6
862,Hungary,2016,12,3,7
863,Hungary-1,1932,0,0,2
864,Hungary-1,1936,0,0,2
865,Hungary-1,1948,0,2,0
866,Hungary-1,1952,0,0,2
867,Hurlingham-2,1908,0,4,0
868,Iceland,1956,0,1,0
869,Iceland,1984,0,0,1
870,Iceland,2000,0,0,1
871,Iceland,2008,0,14,0
872,Independent Rowing Club-3,1904,0,0,2
873,India,1900,0,2,0
874,India,1924,7,0,0
875,India,1928,14,0,0
876,India,1932,15,0,0
877,India,1936,19,0,0
878,India,1948,20,0,0
879,India,1952,14,0,1
880,India,1956,17,0,0
881,India,1960,0,13,0
882,India,1964,15,0,0
883,India,1968,0,0,16
884,India,1972,0,0,14
885,India,1980,16,0,0
886,India,1996,0,0,1
887,India,2000,0,0,1
888,India,2004,0,1,0
889,India,2008,1,0,2
890,India,2012,0,2,4
891,India,2016,0,1,1
892,Individual Olympic Athletes,1992,0,1,2
893,Individual Olympic Athletes,2016,1,0,1
894,Indonesia,1988,0,3,0
895,Indonesia,1992,2,1,1
896,Indonesia,1996,2,1,1
897,Indonesia,2000,2,2,2
898,Indonesia,2004,1,1,1
899,Indonesia,2008,0,0,3
900,Indonesia,2012,0,1,1
901,Indonesia,2016,0,2,0
902,Indonesia-1,1992,0,2,0
903,Indonesia-1,1996,0,0,2
904,Indonesia-1,2000,0,2,0
905,Indonesia-1,2004,0,0,2
906,Indonesia-1,2008,2,2,0
907,Indonesia-1,2016,2,0,0
908,Iran,1948,0,0,1
909,Iran,1952,0,3,4
910,Iran,1956,2,2,1
911,Iran,1960,0,1,3
912,Iran,1964,0,0,2
913,Iran,1968,2,1,2
914,Iran,1972,0,2,1
915,Iran,1976,0,1,1
916,Iran,1988,0,1,0
917,Iran,1992,0,1,2
918,Iran,1996,1,1,1
919,Iran,2000,3,0,1
920,Iran,2004,2,2,2
921,Iran,2008,1,0,1
922,Iran,2012,4,5,3
923,Iran,2016,3,1,4
924,Iraq,1960,0,0,1
925,Ireland,1924,0,1,1
926,Ireland,1928,1,0,0
927,Ireland,1932,2,0,0
928,Ireland,1948,0,0,1
929,Ireland,1952,0,1,0
930,Ireland,1956,1,1,3
931,Ireland,1964,0,0,1
932,Ireland,1980,0,2,1
933,Ireland,1984,0,1,0
934,Ireland,1992,1,1,0
935,Ireland,1996,3,0,1
936,Ireland,2000,0,1,0
937,Ireland,2008,0,1,2
938,Ireland,2012,1,1,3
939,Ireland,2016,0,3,0
940,Ireland-2,1908,0,12,0
941,Ireland-3,1908,0,4,0
942,Irene,1920,5,0,0
943,Israel,1992,0,1,1
944,Israel,1996,0,0,1
945,Israel,2000,0,0,1
946,Israel,2004,1,0,1
947,Israel,2008,0,0,1
948,Israel,2016,0,0,2
949,Italia,1936,6,0,0
950,Italy,1900,3,2,0
951,Italy,1906,3,5,1
952,Italy,1908,2,6,0
953,Italy,1912,22,1,2
954,Italy,1920,67,9,8
955,Italy,1924,25,5,21
956,Italy,1928,24,22,26
957,Italy,1932,21,38,18
958,Italy,1936,31,34,5
959,Italy,1948,22,32,14
960,Italy,1952,16,22,16
961,Italy,1956,26,9,10
962,Italy,1960,36,18,32
963,Italy,1964,14,28,9
964,Italy,1968,7,8,20
965,Italy,1972,10,4,14
966,Italy,1976,3,27,5
967,Italy,1980,8,22,8
968,Italy,1984,31,6,28
969,Italy,1988,13,11,13
970,Italy,1992,25,19,20
971,Italy,1994,12,4,10
972,Italy,1996,19,24,28
973,Italy,1998,1,9,5
974,Italy,2000,22,14,29
975,Italy,2002,4,11,4
976,Italy,2004,24,41,39
977,Italy,2006,11,0,10
978,Italy,2008,8,14,20
979,Italy,2010,1,1,3
980,Italy,2012,16,22,30
981,Italy,2014,0,2,12
982,Italy,2016,8,38,24
983,Italy-1,1956,2,0,0
984,Italy-1,1964,0,0,4
985,Italy-1,1968,6,0,0
986,Italy-1,1972,2,4,0
987,Italy-1,1980,0,2,0
988,Italy-1,1992,0,0,2
989,Italy-1,1994,2,0,2
990,Italy-1,1998,2,0,0
991,Italy-1,2002,0,0,2
992,Italy-1,2006,0,0,4
993,Italy-1,2016,0,2,0
994,Italy-2,1956,0,6,0
995,Italy-2,1964,0,2,4
996,Italy-2,1994,0,2,0
997,Jamaica,1948,1,2,0
998,Jamaica,1952,5,3,0
999,Jamaica,1968,0,1,0
1000,Jamaica,1972,0,0,1
1001,Jamaica,1976,1,1,0
1002,Jamaica,1980,0,0,3
1003,Jamaica,1984,0,5,2
1004,Jamaica,1988,0,7,0
1005,Jamaica,1992,0,3,1
1006,Jamaica,1996,1,3,12
1007,Jamaica,2000,0,20,3
1008,Jamaica,2004,6,1,6
1009,Jamaica,2008,5,3,6
1010,Jamaica,2012,8,9,8
1011,Jamaica,2016,11,17,2
1012,Japan,1920,0,3,0
1013,Japan,1924,0,0,1
1014,Japan,1928,2,6,1
1015,Japan,1932,10,17,4
1016,Japan,1936,9,4,10
1017,Japan,1952,1,9,2
1018,Japan,1956,4,16,5
1019,Japan,1960,9,10,12
1020,Japan,1964,32,5,25
1021,Japan,1968,16,25,22
1022,Japan,1972,30,20,9
1023,Japan,1976,25,6,10
1024,Japan,1980,0,1,0
1025,Japan,1984,10,9,31
1026,Japan,1988,4,3,14
1027,Japan,1992,6,10,43
1028,Japan,1994,3,5,2
1029,Japan,1996,3,26,13
1030,Japan,1998,8,1,4
1031,Japan,2000,5,31,8
1032,Japan,2002,0,1,1
1033,Japan,2004,21,20,52
1034,Japan,2006,1,0,0
1035,Japan,2008,23,15,13
1036,Japan,2010,0,5,2
1037,Japan,2012,7,42,33
1038,Japan,2014,1,4,6
1039,Japan,2016,17,13,34
1040,Japan-1,2012,0,2,0
1041,Jest,1956,2,0,0
1042,Jo,1920,3,0,0
1043,Jordan,2016,1,0,0
1044,Joy,1932,0,2,0
1045,Jupiter,1932,2,0,0
1046,K Division Metropolitan Police Team-3,1908,0,0,8
1047,Kathleen,1956,2,0,0
1048,Kazakhstan,1994,1,2,0
1049,Kazakhstan,1996,3,4,4
1050,Kazakhstan,1998,0,0,2
